start	end	text
0.009	12.332	繁體中文，臺灣國語。
32.176	77.106	繁體中文， 弟兄姊妹早安。
79.974	89.021	很開心在主日的早晨，可以一起來敬拜我們的神。
105.725	115.493	最近我們有一位組內的姊妹從美國回來。
115.493	127.903	她告訴我,她在美國,如果要去聚會做禮拜的時候,她要開車開兩個多小時,將近三個小時。
127.903	132.546	相較之下,我們在這裡,有沒有覺得很幸福吧?
133.660	135.960	很幸福,對不對?
135.960	143.202	15分鐘,頂多30分鐘,就到了,這麼方便耶。
143.202	149.483	我想到這裡,我覺得,你跟你隔壁說,你很幸福啊。
149.483	153.704	我們先做一個禱告。
164.053	172.039	謝謝耶穌。
191.834	210.641	我在預備,我在預備這個禱告的時候呢,有一個感動的經文,在真言第八章,三十四、三十五節,我們有看到,我們一起來念一遍好不好。
210.641	228.624	聽從我,日日在我門口仰望,在我門框旁邊等候的,那人便為有福, 因為尋得我的,就尋得生命,也必蒙耶和華的恩惠。
228.624	244.518	感謝主,我們來尋求,我們來仰望祂,我們來等候祂,這是何等的蒙神的祝福。
244.518	248.942	祂說,尋得生命的,也必蒙耶和華的恩惠。
249.753	277.964	所以告訴你旁邊的人說你必蒙耶和華神的恩惠你必蒙耶和華神的恩惠感謝讚美主謝謝主真的是很喜樂但是我跟你講我現在有點緊張因為我第一次真的 如果帶的不好 再包容一下。
277.964	293.191	但是我們求聖靈,聖靈來大大的同在,聖靈來幫助我們,讓我們可以一起開口,我們可以一起開口,能夠來禱告,來仰望,來尋求。
293.191	304.797	我們相信神,今天讓每個人都蒙主的一個恩典,大大的恩典在我們的當中。
304.797	305.578	你相信嗎?
306.937	309.699	我們感謝主。
309.699	319.084	我們現在就一起,我們一起來禱告,我們一起來讚美祂。
319.084	329.451	我們如果可以的話,請你站立起來,從你的座位站起來,我們一起來禱告,我們一起來仰望祂。
330.111	337.593	我們首先為神上週的開路、恩典與拯救來讚美祂。
337.593	349.916	我們可以為你自己,你也可以為你所認識的朋友,你可以提名你所知道的來讚美、獻上感恩。
349.916	354.397	我們就一起同聲來開口、來禱告。
355.606	358.929	阿蕾路亞,主我們感謝祢,我們讚美祢。
358.929	369.178	主啊,是的,主啊,父神啊,父神啊,主耶穌,主啊,謝謝祢十字架的救恩,主啊,使我們得以往往。
369.178	374.543	主啊,感謝祢,主啊,讚美祢,主啊,祢是為我們開道路的神。
374.923	383.591	主啊,祢是在曠野開道路,在沙漠開江河的神啊。
383.591	384.312	主啊,我感謝祢,謝謝祢。
384.312	395.422	我在這個時刻,我也要為著特別為莊牧師,在上周他的眼睛和他的頭部,有些的不舒服,都蒙主祢的看顧,蒙主祢的醫治。
395.422	396.924	主,我們獻上感謝。
397.244	427.792	哈利路亞 主我們也要為著那個金弟兄金弟兄的祂的媽媽以及祂的這個三哥前陣子就是因為病危住院現在已經脫離險境不多時也可以出院我們獻上感謝我們獻上讚美哈利路亞 主我們感謝祢主我們讚美祢謝謝耶穌 主啊祢極大的恩典在我們的當中。
427.792	430.495	主啊祢是醫治的神。
