start	end	text
1.186	17.722	感謝主剛剛我們在志偉跟Amy身上看見神蹟的器皿,真的是讓人看見神的作為,我們真的沒有一個人能夠靠著自己的力量走過這些艱難的日子。
17.722	26.190	我光是想到剛剛志偉講的,那一個一發生了之後的那十幾天在那裡昏迷,這個Amy的日子怎麼過的都不可思議。
26.630	30.091	但是我們的神是真神,是活神。
30.091	43.514	我們今天來看看我的《出埃及記》在我想要分享跟它有關的題目的時候呢,剛好我們現在講到石齋。
43.514	51.855	所以在石齋裡面我看見有一個感動的點,就是說耶和華使法老新綱營。
51.855	54.096	那麼因此我就在想,還沒到。
56.578	60.820	哎,幫我回去,是的。
60.820	63.161	因此這個大綱很早就出來了。
63.161	80.048	很早就出來的時候呢,關節還沒有連起來,然後肉還沒有長起來的時候,上個禮拜, 我家裡還有生活裡面就連續發生那些非常意外需要全神貫注去處理的事情。
80.048	86.414	所以已經到了快要星期天了,我的這個獎章的關節跟肉都沒有連起來。
86.954	91.496	那因此我跟我的上海的弟弟說,我說我完了,我完了。
91.496	102.322	那我弟弟就說,誒,他說我高中在師大附中化學課的時候,有一天老師就走進來說,今天全班同學自習。
102.322	104.423	所以我就想,誒,這是個好主意。
104.423	111.387	我就放一節經文,然後跟諸位說,今天就請你們自習,安靜默想。
113.660	123.405	但是當我出埃及記的時候,我害怕神降下第十一災,把我即刻提到天上去,好好的打屁股。
123.405	127.447	所以我還是乖乖地來預備。
127.447	140.053	在我這個預備的過程中間,你知道當我們看見實災的時候,我不知道你們啦,可能因為我的年紀,我立刻會想到那個十屆的電影,這是在1956年拍的。
141.323	144.505	可能有的人連你的爸媽都沒生呢。
144.505	148.747	那這個電影裡面把那個時界講得非常的有趣。
148.747	150.888	那後來他們怎麼樣出埃及。
150.888	160.373	所以我就在想說,好呀,那我們就來用一個看電影的一個心態,我們來看我們的出埃及記。
160.373	167.457	所以當我們看出埃及記的時候,看電影,你一看電影小時候,你會看什麼?
167.457	173.340	電影一演起來,你馬上就會說,媽媽, 這是好人還是壞人?
173.340	174.620	有沒有?
174.620	175.620	好人還是壞人。
175.620	177.601	所以我們看個《川崎記》開始。
177.601	182.542	《川崎記》第一章一開始的時候,就是個很大的場景。
182.542	196.806	然後在這很大的場景,我們就看見在那一個紅土的地方,然後有許多許多的人在那裡嘿呦嘿呦,在搬了很沉重的石塊磚頭,然後在那裡挖掘,在那裡蓋住,在那裡建造。
197.466	201.487	然後我們就看見有毒公,這些人都是以色列人。
201.487	208.448	然後我們就可以看見有那個以色列的官長管他們,然後又有埃及人的官長管理以色列。
208.448	212.029	然後我們看見在這個上面一切都是法老。
212.029	217.230	法老會這樣做,因為以色列人實在是太多了,讓他們害怕。
217.230	222.911	於是他們就要用這樣子的一個奴役他們的方法,好壓制他們,好俠管他們。
223.251	234.377	我們在往下看的時候﹐這個電影就演到﹐這個以色列長的人很多﹐然後他們的男孩繼續生的時候﹐法老就說﹐把他們出生的嬰孩殺掉。
234.377	237.078	請問﹐法老是好人還是壞人?
238.643	241.324	繁體中文，臺灣國語。
241.324	242.624	繁體中文，臺灣國語。
242.624	244.504	繁體中文，臺灣國語。
262.329	267.731	領過去養,哎,好高興哦,還可以回到家被他媽媽如養。
267.731	272.273	等到他斷奶了,就到了法老的宮殿裡面,在那裡四十年。
272.273	277.915	四十年之後呢,我們也看見,他又另外四十年就到了曠野。
277.915	283.598	然後在那個曠野的時候的話呢,就遇見了神,在山上呼召他。
284.138	297.409	告訴他說,我現在拣選你去回埃及,把我那些痛苦的百姓從這些凌虐中間、荼毒中間救出來。
297.409	302.313	請問這一位是好人還是壞人?
302.313	303.334	好人。
303.334	307.417	以色列人到目前為止是好人還是壞人?
308.643	311.827	好人嘛,我們都要跟弱小的人在一起嘛。
311.827	314.071	弱小的都要是好人才行嘛。
314.071	316.354	好,然後我們繼續再看了。
316.354	319.779	於是呢,他們就回到這裡來了,回到埃及了。
319.779	334.914	回到埃及的時候呢, 摩西跟亞倫就來跟法老說,你要讓我們的以色列人走,我們的神說我們現在要去祭祀他們,然後你要讓我們走三天的路程離開這裡。
334.914	344.417	於是他們又把神給他們的神蹟,就是那個杖會變成蛇,那個手大麻風會,然後又好,把神蹟給他看。
344.417	348.658	但是即使如此,這個法老怎麼樣?
348.658	349.979	法老說,誰呀?
350.759	352.841	耶和華是誰呀?
352.841	354.242	沒聽過。
354.242	357.464	你們這些人很有精力要去祭祀,對不對?
357.464	360.507	好,來,給我更加地虐待。
360.507	364.971	這個草也不要給他們,讓他們嫌得無聊。
364.971	368.253	現在先去從找草開始,然後再來做磚。
368.253	371.576	他一發地虐待以色列人。
371.576	374.699	法老師,好人還是壞人?
374.699	374.999	壞人。
376.032	389.164	然後呢,神就藉著摩西跟亞倫的手呢,行了實災,然後就把里色獵人,聖經裡講他們,昂然無懼地出了埃及。
389.164	393.208	請問,這是好人還是壞人?
393.208	397.672	好人得勝了,離開了埃及,對不對?
397.672	398.713	那故事就講完了。
400.998	410.423	但是,如果看電影,如果寫劇本,只是這樣寫的話,沒有內心戲。
410.423	413.725	請問這個戲好看不好看?
413.725	414.745	不好看。
414.745	418.127	我們都要看內心戲,對不對?
418.127	427.912	好,於是呢,我們就可以把這個鏡頭,現在是中距離的鏡頭,讓我們來看法老。
427.912	446.520	這個法老呢,第一, 我們看見,如果這個法老是像莊牧師講的,如果你們有看那個《言經事義》,如果他是早期出埃及的話,他是當時在歷史上不可一世的,這一個叫做埃及的拿破崙。
447.722	449.183	多神啊!
449.183	455.248	而你們這些奴隸,這個摩西,他說他不認識神。
455.248	459.291	他在《出埃及記》第五章說,耶和華是誰呀?
459.291	461.673	叫我聽他的話。
461.673	466.356	我不認識耶和華,以色列人你休想去。
466.356	470.359	因此他加倍地虐待這些百姓,自大很狂妄。
471.340	477.662	那麼,即使呢,當他看見了我們前面講的,杖變成蛇。
477.662	479.642	這個杖變成蛇怎樣?
479.642	481.883	它的術式也可以。
481.883	486.945	兩根杖丟在地上,你變一條蛇,我變兩條蛇。
