start	end	merged	Azure AI	Google NMT	Google Gemini
18100	19620	弟兄姊妹平安。	兄弟姉妹は安全です。	平和、兄弟姉妹よ。	兄弟姉妹、平安。
19620	26850	我們按照每日研經釋義的進度 繼續來思想 創世記第五章的18節到最後。	創世記5章の18節を最後まで黙想しながら、日々の聖書研究を進めていきます。	日々の聖書学習と釈義の進み具合に合わせて、創世記5章18節を最後まで考察していきます。	本日の聖書解説の進捗に従って、創世記第5章18節から最後までを考え続けましょう。
26850	33390	也請各位可以繼續來支持 訂閱這本「每日研經釋義」的手冊。	引き続き、このハンドブックをサポートし、購読してください。	この「毎日の聖書研究解釈」マニュアルを購読して、私を引き続きサポートしてください。	また、皆様には、この「聖書解説」の手帳の購読を継続して支援していただくようお願いいたします。
33390	39020	它對於幫助我們養成每日讀經靈修的好習慣 有非常大的幫助。	それは私たちが聖書を読み、毎日献身する良い習慣を身につけるのを助けるのに非常に役立ちます。	毎日聖書を読んだり霊性を実践したりする良い習慣を身につけるのに非常に役立ちます。	これは、私たちが毎日の聖書朗読と霊的訓練の良い習慣を身につけるのに非常に役立ちます。
39020	43140	也可以個人使用、小組使用 也可以全教會使用。	また、個人でも、少人数のグループでも、教会全体でも使用できます。	個人、小グループ、または教会全体で使用することもできます。	個人で使用することも、グループで使用することも、教会全体で使用することもできます。
43140	57930	而我們所錄製的每日研經釋義的這個視頻 就是針對它來當作進度 進行原文、地史地理背景 還有神學 還有教牧生活實踐的一些應用的補充。	そして、私たちが毎日の聖書研究のために録画したこのビデオは、原文、地理、地理、神学の文脈、牧会生活の実践において進歩を遂げる方法として、それを補完する方法です。	私たちが毎日の聖書研究と解釈を録画したビデオは、原文、地理的歴史的背景、神学、そして司牧生活の実践におけるいくつかの応用を補足するための進歩として使用されます。	そして、私たちが録音したこの聖書解説のビデオは、それを進捗として、原文、地史地理的背景、神学、そして牧会生活の実践におけるいくつかの応用の補足として使用されます。
57930	59770	我們來看五章的18節。	5章の18節を見てみましょう。	5章18節を見てみましょう。	第5章18節を見てみましょう。
59770	67030	繼續來看亞當的一個兒子塞特還有他的後代 這個家族的系譜。	アダムの息子の一人であるセツと、この家族の系図における彼の子孫に移りましょう。	アダムの息子の一人であるセトとその子孫の系図を続けてみましょう。	アダムの息子セトとその子孫、この家族の系譜を見ていきましょう。
67030	72930	18節 雅列活到一百六十二歲，生了以諾。	18 ヤレドは百六十二歳まで生きて、エノクをもうけた。	18節 ヤレドは百六十二歳まで生き、エノクの父となりました。	18節 ヤレは162歳でエノクをもうけました。
72930	74310	以諾這個人非常有名。	エノクはとても有名な人でした。	エノクはとても有名な人でした。	エノクは非常に有名です。
74310	75950	我們待會會介紹他。	後ほど紹介します。	彼については後ほど紹介します。	後で彼について紹介します。
75950	82890	雅列生以諾之後，又活了八百年 並且生兒養女。	ヤレドはエノクをもうけてから八百年生き、息子や娘をもうけた。	ヤレドがエノクを生んだ後、彼はさらに800年生き、息子や娘をもうけました。	ヤレはエノクをもうけた後、800年間生き、息子と娘をもうけました。
82890	87580	雅列共活了九百六十二歲就死了。	ジャレドは死ぬまで合計962年生きました。	ヤレドの生涯は九百六十二年で、彼は亡くなりました。	ヤレは合計962歳で亡くなりました。
